CIK,Wiki
74208,"https://en.wikipedia.org/wiki/UDR,_Inc."
75362,https://en.wikipedia.org/wiki/Paccar
76334,https://en.wikipedia.org/wiki/Parker_Hannifin
77360,https://en.wikipedia.org/wiki/Pentair
77476,https://en.wikipedia.org/wiki/PepsiCo
78003,https://en.wikipedia.org/wiki/Pfizer
78239,https://en.wikipedia.org/wiki/PVH_(company)
78814,https://en.wikipedia.org/wiki/Pitney_Bowes
79879,https://en.wikipedia.org/wiki/PPG_Industries
80424,https://en.wikipedia.org/wiki/Procter_%26_Gamble
80661,https://en.wikipedia.org/wiki/Progressive_Corporation
85961,https://en.wikipedia.org/wiki/Ryder
86312,https://en.wikipedia.org/wiki/The_Travelers_Companies
87347,https://en.wikipedia.org/wiki/Schlumberger
89800,https://en.wikipedia.org/wiki/Sherwin-Williams
91419,https://en.wikipedia.org/wiki/The_J.M._Smucker_Company
91440,https://en.wikipedia.org/wiki/Snap-on
91576,https://en.wikipedia.org/wiki/KeyBank
92122,https://en.wikipedia.org/wiki/Southern_Company
92230,https://en.wikipedia.org/wiki/Truist_Financial
92380,https://en.wikipedia.org/wiki/Southwest_Airlines
93410,https://en.wikipedia.org/wiki/Chevron_Corporation
93556,https://en.wikipedia.org/wiki/Stanley_Black_%26_Decker
93751,https://en.wikipedia.org/wiki/State_Street_Corporation
96021,https://en.wikipedia.org/wiki/Sysco
96223,https://en.wikipedia.org/wiki/Jefferies_Financial_Group
97476,https://en.wikipedia.org/wiki/Texas_Instruments
97745,https://en.wikipedia.org/wiki/Thermo_Fisher_Scientific
98246,https://en.wikipedia.org/wiki/Tiffany_%26_Co.
100493,https://en.wikipedia.org/wiki/Tyson_Foods
100517,https://en.wikipedia.org/wiki/United_Airlines_Holdings
100885,https://en.wikipedia.org/wiki/Union_Pacific_Railroad
101778,https://en.wikipedia.org/wiki/Marathon_Oil
101829,https://en.wikipedia.org/wiki/United_Technologies
103379,https://en.wikipedia.org/wiki/VF_Corporation
104169,https://en.wikipedia.org/wiki/Walmart
106040,https://en.wikipedia.org/wiki/Western_Digital
106535,https://en.wikipedia.org/wiki/Weyerhaeuser
106640,https://en.wikipedia.org/wiki/Whirlpool_Corporation
107263,https://en.wikipedia.org/wiki/Williams_Companies
108772,https://en.wikipedia.org/wiki/Xerox
109198,https://en.wikipedia.org/wiki/TJX_Companies
109380,https://en.wikipedia.org/wiki/Zions_Bancorporation
200406,https://en.wikipedia.org/wiki/Johnson_%26_Johnson
202058,https://en.wikipedia.org/wiki/Harris_Corporation
203527,https://en.wikipedia.org/wiki/Varian_Medical_Systems
217346,https://en.wikipedia.org/wiki/Textron
277135,https://en.wikipedia.org/wiki/W._W._Grainger
277948,https://en.wikipedia.org/wiki/CSX_Corporation
310158,https://en.wikipedia.org/wiki/Merck_%26_Co.
310764,https://en.wikipedia.org/wiki/Stryker_Corporation
313616,https://en.wikipedia.org/wiki/Danaher_Corporation
313927,https://en.wikipedia.org/wiki/Church_%26_Dwight
315189,https://en.wikipedia.org/wiki/John_Deere
315213,https://en.wikipedia.org/wiki/Robert_Half_International
315293,https://en.wikipedia.org/wiki/Aon_(company)
315852,https://en.wikipedia.org/wiki/Range_Resources
316709,https://en.wikipedia.org/wiki/Charles_Schwab_Corporation
318154,https://en.wikipedia.org/wiki/Amgen
319201,https://en.wikipedia.org/wiki/KLA_Corporation
320187,https://en.wikipedia.org/wiki/Nike
320193,https://en.wikipedia.org/wiki/Apple_Inc.
320335,https://en.wikipedia.org/wiki/Globe_Life
350698,https://en.wikipedia.org/wiki/AutoNation
352541,https://en.wikipedia.org/wiki/Alliant_Energy
352915,https://en.wikipedia.org/wiki/Universal_Health_Services
354190,https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.
354908,https://en.wikipedia.org/wiki/FLIR_Systems
354950,https://en.wikipedia.org/wiki/The_Home_Depot
356028,https://en.wikipedia.org/wiki/CA_Technologies
701221,https://en.wikipedia.org/wiki/Cigna
701985,https://en.wikipedia.org/wiki/L_Brands
702165,https://en.wikipedia.org/wiki/Norfolk_Southern_Railway
707549,https://en.wikipedia.org/wiki/Lam_Research
711404,https://en.wikipedia.org/wiki/The_Cooper_Companies
712515,https://en.wikipedia.org/wiki/Electronic_Arts
713676,https://en.wikipedia.org/wiki/PNC_Financial_Services
715957,https://en.wikipedia.org/wiki/Dominion_Energy
717423,https://en.wikipedia.org/wiki/Murphy_Oil
718877,https://en.wikipedia.org/wiki/Activision_Blizzard
721371,https://en.wikipedia.org/wiki/Cardinal_Health
721683,https://en.wikipedia.org/wiki/TSYS
723125,https://en.wikipedia.org/wiki/Micron_Technology
723254,https://en.wikipedia.org/wiki/Cintas
723531,https://en.wikipedia.org/wiki/Paychex
726728,https://en.wikipedia.org/wiki/Realty_Income_Corporation
728535,https://en.wikipedia.org/wiki/J._B._Hunt
731766,https://en.wikipedia.org/wiki/UnitedHealth_Group
732712,https://en.wikipedia.org/wiki/Verizon_Communications
732717,https://en.wikipedia.org/wiki/AT%26T
740260,https://en.wikipedia.org/wiki/Ventas_(company)
743988,https://en.wikipedia.org/wiki/Xilinx
745732,https://en.wikipedia.org/wiki/Ross_Stores
746515,https://en.wikipedia.org/wiki/Expeditors_International
750556,https://en.wikipedia.org/wiki/SunTrust_Banks
753308,https://en.wikipedia.org/wiki/NextEra_Energy
754737,https://en.wikipedia.org/wiki/SCANA
759944,https://en.wikipedia.org/wiki/Citizens_Financial_Group
764180,https://en.wikipedia.org/wiki/Altria
764478,https://en.wikipedia.org/wiki/Best_Buy
764622,https://en.wikipedia.org/wiki/Pinnacle_West_Capital
765880,https://en.wikipedia.org/wiki/Healthpeak_Properties
766421,https://en.wikipedia.org/wiki/Alaska_Air_Group
766704,https://en.wikipedia.org/wiki/Welltower
769397,https://en.wikipedia.org/wiki/Autodesk
773840,https://en.wikipedia.org/wiki/Honeywell
773910,https://en.wikipedia.org/wiki/Anadarko_Petroleum
783325,https://en.wikipedia.org/wiki/WEC_Energy_Group
788784,https://en.wikipedia.org/wiki/Public_Service_Enterprise_Group
789019,https://en.wikipedia.org/wiki/Microsoft
791519,https://en.wikipedia.org/wiki/Staples_Inc.
791907,https://en.wikipedia.org/wiki/Linear_Technology
793952,https://en.wikipedia.org/wiki/Harley-Davidson
794323,https://en.wikipedia.org/wiki/Level_3_Communications
794367,"https://en.wikipedia.org/wiki/Macy%27s,_Inc."
796343,https://en.wikipedia.org/wiki/Adobe_Inc.
797468,https://en.wikipedia.org/wiki/Occidental_Petroleum
798354,https://en.wikipedia.org/wiki/Fiserv
800459,https://en.wikipedia.org/wiki/Harman_International
804328,https://en.wikipedia.org/wiki/Qualcomm
804753,https://en.wikipedia.org/wiki/Cerner
808362,https://en.wikipedia.org/wiki/Baker_Hughes
811156,https://en.wikipedia.org/wiki/CMS_Energy
